field_name,polismart_category,non_null_rows,unique_values,note
RESPNO,Survey metadata,54803,54738,"Preserved from source for identification, geography, metadata, or weighting."
COUNTRY,Geography / enumeration area,54398,463,"Preserved from source for identification, geography, metadata, or weighting."
COUNTRY.old.spelling,Geography / enumeration area,54173,492,"Preserved from source for identification, geography, metadata, or weighting."
COUNTRY_R7List,Geography / enumeration area,54432,560,"Preserved from source for identification, geography, metadata, or weighting."
COUNTRY_R6List,Geography / enumeration area,54432,673,"Preserved from source for identification, geography, metadata, or weighting."
COUNTRY_R5List,Geography / enumeration area,54432,360,"Preserved from source for identification, geography, metadata, or weighting."
COUNTRY.BY.REGION,Geography / enumeration area,54156,348,"Preserved from source for identification, geography, metadata, or weighting."
URBRUR,Geography / enumeration area,54430,30,"Preserved from source for identification, geography, metadata, or weighting."
URBRUR_COND,Geography / enumeration area,54154,5,"Preserved from source for identification, geography, metadata, or weighting."
REGION,Geography / enumeration area,54425,543,"Preserved from source for identification, geography, metadata, or weighting."
LOCATION.LEVEL.1,Geography / enumeration area,54427,2329,"Preserved from source for identification, geography, metadata, or weighting."
EA_SVC_A,Geography / enumeration area,54429,8,"Preserved from source for identification, geography, metadata, or weighting."
EA_SVC_B,Geography / enumeration area,54430,7,"Preserved from source for identification, geography, metadata, or weighting."
EA_SVC_C,Geography / enumeration area,54432,8,"Preserved from source for identification, geography, metadata, or weighting."
EA_SVC_D,Geography / enumeration area,54432,7,"Preserved from source for identification, geography, metadata, or weighting."
EA_SVC_E,Geography / enumeration area,54432,8,"Preserved from source for identification, geography, metadata, or weighting."
EA_FAC_A,Geography / enumeration area,54432,7,"Preserved from source for identification, geography, metadata, or weighting."
EA_FAC_B,Geography / enumeration area,54432,6,"Preserved from source for identification, geography, metadata, or weighting."
EA_FAC_C,Geography / enumeration area,54432,7,"Preserved from source for identification, geography, metadata, or weighting."
EA_FAC_D,Geography / enumeration area,54432,6,"Preserved from source for identification, geography, metadata, or weighting."
EA_FAC_E,Geography / enumeration area,54432,5,"Preserved from source for identification, geography, metadata, or weighting."
EA_FAC_F,Geography / enumeration area,54432,5,"Preserved from source for identification, geography, metadata, or weighting."
EA_FAC_F2,Geography / enumeration area,54432,5,"Preserved from source for identification, geography, metadata, or weighting."
EA_FAC_G,Geography / enumeration area,54432,4,"Preserved from source for identification, geography, metadata, or weighting."
EA_SEC_A,Geography / enumeration area,54432,49,"Preserved from source for identification, geography, metadata, or weighting."
EA_SEC_B,Geography / enumeration area,54432,25,"Preserved from source for identification, geography, metadata, or weighting."
EA_SEC_C,Geography / enumeration area,54432,4,"Preserved from source for identification, geography, metadata, or weighting."
EA_SEC_D,Geography / enumeration area,54076,4,"Preserved from source for identification, geography, metadata, or weighting."
EA_SEC_E,Geography / enumeration area,54076,14,"Preserved from source for identification, geography, metadata, or weighting."
EA_ROAD_A,Geography / enumeration area,53444,7,"Preserved from source for identification, geography, metadata, or weighting."
EA_ROAD_B,Geography / enumeration area,53720,29,"Preserved from source for identification, geography, metadata, or weighting."
EA_ROAD_C,Geography / enumeration area,53444,7,"Preserved from source for identification, geography, metadata, or weighting."
DATEINTR,Survey metadata,53718,438,"Preserved from source for identification, geography, metadata, or weighting."
STRTIME,Survey metadata,53718,11054,"Preserved from source for identification, geography, metadata, or weighting."
Q1,Survey question — map with Round 9 codebook,53718,90,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q2,Survey question — map with Round 9 codebook,53718,453,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q2OTHER,Survey question — map with Round 9 codebook,1036,268,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q3,Survey question — map with Round 9 codebook,53718,5,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q4A,Survey question — map with Round 9 codebook,53718,8,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q4B,Survey question — map with Round 9 codebook,53718,8,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q5A,Survey question — map with Round 9 codebook,53718,8,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q5B,Survey question — map with Round 9 codebook,53444,7,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q6A,Survey question — map with Round 9 codebook,53444,7,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q6B,Survey question — map with Round 9 codebook,53444,7,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q6C,Survey question — map with Round 9 codebook,53444,7,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q6D,Survey question — map with Round 9 codebook,53444,7,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q6E,Survey question — map with Round 9 codebook,53444,7,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q7A,Survey question — map with Round 9 codebook,53444,7,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q7B,Survey question — map with Round 9 codebook,53444,7,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q8,Survey question — map with Round 9 codebook,53444,5,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q9A,Survey question — map with Round 9 codebook,53444,6,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q9B,Survey question — map with Round 9 codebook,53444,7,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q9C,Survey question — map with Round 9 codebook,53444,6,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q10A,Survey question — map with Round 9 codebook,53444,7,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q10B,Survey question — map with Round 9 codebook,53444,7,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q10C,Survey question — map with Round 9 codebook,53444,7,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q11A,Survey question — map with Round 9 codebook,53444,7,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q11B,Survey question — map with Round 9 codebook,53444,7,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q11C,Survey question — map with Round 9 codebook,53444,7,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q11D,Survey question — map with Round 9 codebook,53444,7,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q11E,Survey question — map with Round 9 codebook,53444,7,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q12A,Survey question — map with Round 9 codebook,53444,8,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q12B,Survey question — map with Round 9 codebook,53444,7,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q13,Survey question — map with Round 9 codebook,53444,7,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q14A,Survey question — map with Round 9 codebook,53444,8,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q14B,Survey question — map with Round 9 codebook,53444,7,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q14C,Survey question — map with Round 9 codebook,53444,7,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q15,Survey question — map with Round 9 codebook,53444,7,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q16,Survey question — map with Round 9 codebook,53444,7,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q17,Survey question — map with Round 9 codebook,53444,7,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q18,Survey question — map with Round 9 codebook,53444,7,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q19A,Survey question — map with Round 9 codebook,53444,7,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q19B,Survey question — map with Round 9 codebook,53444,8,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q20,Survey question — map with Round 9 codebook,53444,7,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q21A,Survey question — map with Round 9 codebook,53444,7,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q21B,Survey question — map with Round 9 codebook,53444,7,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q22A,Survey question — map with Round 9 codebook,53444,7,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q22B,Survey question — map with Round 9 codebook,53444,7,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q22C,Survey question — map with Round 9 codebook,53444,7,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q23,Survey question — map with Round 9 codebook,53444,5,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q24,Survey question — map with Round 9 codebook,53444,7,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
Q25,Survey question — map with Round 9 codebook,53444,7,Interpret question wording and response codes using the official Afrobarometer Round 9 merged codebook.
